Tweet id,Tweet text,True/False?
1290677617302089728,"Voting... touch the same machine as everybody else, or touch a shared pen, or a shared punch card poker chained to the voting booth... it is hard, dangerous, and potentially deadly when done in person these days. Pay attention. 1 in 26 dies when contracted with COVID-19",0
1290673828440559616,Doctors warn people without fevers may still have COVID-19 ,0
1290658597886664706,"When asked about Corona death totals, Trump said, ""It is what it is."" It is remarkable that such a creature exists and is considered by some to be more than sub-human.",0
1290639922970296320,Try calling and telling them you’re being affected by corona virus .. they might be able to move the payment date or something :),0
1290655116224344064,"@narendramodi Sir please take serious note of this. FMG,s can be included in fight against corona,it will overcome shortage of trained manpower in hospitals. Plz don’t discriminate FMG’s on the basis of an barrier called FMGE #letfmgserve #FMGEPP30 @drharshvardhan @MoHFW_INDIA",1
1290659771092217858,“They are spreading corona in the air to kill us “ im still wondering why I ain’t dead yet,1
1290671163627143169,"I don’t get why people with cotton/polyester masks tell you to put your face mask on you’re a walking corona virus ventilation system, do your research",0
1290673075017613313,the situation with corona in america is out of hands i know they'll take all the precautions but it's still risky and dangerous,1
1290675234371239936,"Dr. Mark Escott says after positive COVID-19 case numbers in Travis County were on the decline then plateauing, they’ve started to increase again in the past few days. He’s stressing the importance of not relaxing with masks or social distancing.",0
1290653334240669700,Corona corona go away dont come back another day ,1
1290665433205338112,"We are going to kill that corona, track it, hunt it down and take it out. Anyone know what that corona looks like?",1
1290649507416465409,producing drug by obtaining patent from US company is no big deal... may b u have also counted corona kit made by wrong no. patanjali... your jahil awam don't even afford underwear though ,1
1290675287781453824,"Ventilator(respirator is same thing) acquired pneumonia’s, pneumothorax (kind of like an air leak in the lung) from the pressure requires to ventilate people, especially with COVID because Covid lungs are stiff and require high pressures to oxygenate all the lung tissues....",1
1290675795157909504,"The Corona Canon can become a safety charm that the workspaces can be equipped with, since it would keep them safe from the deadly virus thus, making them completely operational and fit for use.",0
1290645278895333378,she tells us to use the mask the whole day(when you're only supposed to use it for 4 hours) because masks are expensive bro what do u wanna get corona and die or smthg???,1
1290644639213551623,#Door to door awareness for 100% source segregation #say no plastic #ill effect of plastic #use clothe/jute bags #save water #no to buring #no to litring in the area #motivate people Be sure to keep a distance of 2 meters from each other to prevent corona virus.#MC Bathinda,1
1290654645631815682,China spreaded corona.. Is it a new way of spreading any new virus Get lost china ,1
